,company,dpst,trantype,orderno,positionno,invoice,custcode,item,rate1,rate2,ed_amount,amth1,txah1,foreign_currency_amount,unitprice,deliveryqty,sales_amount,saleordertype,stoa,taxcode,orderdate,deladdress,salesrepcode,salesrep,lobcode,lineofbusiness
46,600,90040,613,603001267,20,17001386,CU1H00919,FRT,1,1.00E-06,0,4500,0,4500,4500,1,4500,611,ADD042120,AGG000001,05-06-2017 06:43,"OPPO ADHAR MALL,NEAR ST WORKSHOPNATIONAL HIGH WAY, KALOL-38272 ",200085,BASKARAN K,A24,4W - MFC
47,600,90040,613,603001267,20,17001386,CU1H00919,FRT,1,1.00E-06,0,4500,0,4500,4500,1,4500,611,ADD042120,AGG000001,05-06-2017 06:43,"OPPO ADHAR MALL,NEAR ST WORKSHOPNATIONAL HIGH WAY, KALOL-38272 ",200085,BASKARAN K,A24,4W - MFC
48,600,90040,613,603001358,20,17001390,CU1M00656,FRT,1,1.00E-06,0,3121,0,3121,3121,1,3121,611,PLC006731,AGG000001,13-06-2017 05:19,"CHAKAN INDUSTRIAL AREA,KHEDPUNE - 410 501MOB: 77740 95235",200085,BASKARAN K,A05,4W M & M
49,600,90040,613,603001358,20,17001390,CU1M00656,FRT,1,1.00E-06,0,3121,0,3121,3121,1,3121,611,PLC006731,AGG000001,13-06-2017 05:19,"CHAKAN INDUSTRIAL AREA,KHEDPUNE - 410 501MOB: 77740 95235",200085,BASKARAN K,A05,4W M & M
50,600,90050,614,622001087,30,17002151,CU1E00959,3603JBP00,1,1.00E-06,1362,68100,1362,68100,13620,5,68100,615,DLC061974,AGG0133,26-06-2017 08:23,"3523/49A,SECOND FLOORBALAJI MARKET,GALI HAQIM BAQAHAUZ KAZI, DELHI - 110 006",200085,BASKARAN K,L01,Other Industry
51,600,90050,614,622001087,30,17002151,CU1E00959,3603JBP00,1,1.00E-06,1362,68100,1362,68100,13620,5,68100,615,DLC061974,AGG0133,26-06-2017 08:23,"3523/49A,SECOND FLOORBALAJI MARKET,GALI HAQIM BAQAHAUZ KAZI, DELHI - 110 006",200085,BASKARAN K,L01,Other Industry
52,600,90042,614,622001067,10,17002153,CU1V01656,3899YS009,1,1.00E-06,640,32000,640,32000,32000,1,32000,615,ADD058980,AGG0133,23-06-2017 03:37,SIKAR332 001 ,200085,BASKARAN K,C08,TYRE General
53,600,90042,614,622001067,10,17002153,CU1V01656,3899YS009,1,1.00E-06,640,32000,640,32000,32000,1,32000,615,ADD058980,AGG0133,23-06-2017 03:37,SIKAR332 001 ,200085,BASKARAN K,C08,TYRE General
54,600,90040,613,603001452,30,17001316,CU1E01064,S47002,1,1.00E-06,3277.75,22222,3277.75,22222,22222,1,22222,611,ADD044562,AGG0077,21-06-2017 09:01,"PLOT NO 27 ,SECTOR 30,GTS ROADGANDHINAGAR, GUJARAT - 382 030MOB:93743 90001",200085,BASKARAN K,A03,4W Honda
55,600,90040,613,603001452,30,17001316,CU1E01064,S47002,1,1.00E-06,3277.75,22222,3277.75,22222,22222,1,22222,611,ADD044562,AGG0077,21-06-2017 09:01,"PLOT NO 27 ,SECTOR 30,GTS ROADGANDHINAGAR, GUJARAT - 382 030MOB:93743 90001",200085,BASKARAN K,A03,4W Honda
56,600,90042,614,622001020,20,17002219,CU1S06999,4899ZH004,1,1.00E-06,1445,72250,1445,72250,72250,1,72250,615,ADD059281,AGG0133,19-06-2017 01:41,"FLAT NO 9, SURVEY NO 48SUS ROAD, SUS GAON, SUSMULSHI,PUNE - 411002",200085,BASKARAN K,A08,4W Hyundai
57,600,90042,614,622001020,20,17002219,CU1S06999,4899ZH004,1,1.00E-06,1445,72250,1445,72250,72250,1,72250,615,ADD059281,AGG0133,19-06-2017 01:41,"FLAT NO 9, SURVEY NO 48SUS ROAD, SUS GAON, SUSMULSHI,PUNE - 411002",200085,BASKARAN K,A08,4W Hyundai
58,600,90040,613,603001394,10,17001436,CU1R01048,S25004,1,1.00E-06,12537.5,85000,12537.5,85000,85000,1,85000,611,DLC012082,AGG0077,15-06-2017 10:45,"RUKMANI HOUSE,2-A B ROADNEAR GEETA BHAVAN SQUAREINDORE",200085,BASKARAN K,A01,4W Maruti
59,600,90040,613,603001394,10,17001436,CU1R01048,S25004,1,1.00E-06,12537.5,85000,12537.5,85000,85000,1,85000,611,DLC012082,AGG0077,15-06-2017 10:45,"RUKMANI HOUSE,2-A B ROADNEAR GEETA BHAVAN SQUAREINDORE",200085,BASKARAN K,A01,4W Maruti
60,600,90042,614,622001013,20,17002233,CU1A02900,120366400,1,1.00E-06,913.5,6300,913.5,6300,6300,1,6300,615,ADD059483,AGG0140,19-06-2017 01:41,OLD KALIYAPPA MANDAPAM PREMISESGOUNDAMPALAYAMCOIMBATORE - 641 030,200085,BASKARAN K,A01,4W Maruti
61,600,90042,614,622001013,20,17002233,CU1A02900,120366400,1,1.00E-06,913.5,6300,913.5,6300,6300,1,6300,615,ADD059483,AGG0140,19-06-2017 01:41,OLD KALIYAPPA MANDAPAM PREMISESGOUNDAMPALAYAMCOIMBATORE - 641 030,200085,BASKARAN K,A01,4W Maruti
62,600,90042,613,603001744,20,17002210,CU1S01738,FRT,1,1.00E-06,810,4500,810,4500,4500,1,4500,611,ADD059638,GSTAG18,10-07-2017 03:25,"WARD NO.10, NH - 12NEAR NEW BUS STANDTENDUKHEDA (M.P.)- 487337",200085,BASKARAN K,A01,4W Maruti
63,600,90042,613,603001744,20,17002210,CU1S01738,FRT,1,1.00E-06,810,4500,810,4500,4500,1,4500,611,ADD059638,GSTAG18,10-07-2017 03:25,"WARD NO.10, NH - 12NEAR NEW BUS STANDTENDUKHEDA (M.P.)- 487337",200085,BASKARAN K,A01,4W Maruti
64,600,90040,613,603001515,10,17001441,CU1S09723,Z11016,1,1.00E-06,28025,190000,28025,190000,190000,1,190000,611,ADD059396,AGG0077,28-06-2017 07:00,ANANTHAPURAMU - 515001ANDHRAPRADESH ,200085,BASKARAN K,A01,4W Maruti
