Trade Date,Contract Descriptor,Exchange,Action,Qty,Price,Value,Order Ref.,Securities Transaction Tax-STT,Transaction Charges,Stamp Duty,SEBI Turnover Charges,Brokerage,Service Tax On Brokerage,Total Charges
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Sell","910","39.9","36309","#202603022700010260","36.72","12.9","0","0.04","406","75.4","531.06"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Buy","325","51.25","16656.25","#202603022700009926","0","5.92","0","0.02","145","27.16","178.1"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Buy","260","54","14040","#202603022700009878","0","4.99","1.49","0.01","116","21.78","144.27"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Buy","130","57.25","7442.5","#202603022700009786","0","2.64","0","0.01","58","10.92","71.57"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Buy","130","58.75","7637.5","#202603022700009771","0","2.71","0","0.01","58","10.92","71.64"
"02-Mar-26","OPT-NIFTY-02-Mar-2026-24850-C-E-I","NSE","Buy","65","60.3","3919.5","#202603022700009762","0","1.39","0","0","29","5.48","35.87"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24750-C-E-I","NSE","Sell","65","209.9","13643.5","#202602022700010801","13.64","4.85","0","0.01","29","6.1","53.6"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-25000-P-E-I","NSE","Buy","130","121.75","15827.5","#202602022700015225","0","5.62","0.47","0.02","58","11.46","75.57"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24900-P-E-I","NSE","Sell","65","196.9","12798.5","#202602022700004481","12.71","4.55","0","0.01","29","6.04","52.31"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24900-P-E-I","NSE","Buy","65","176.65","11482.25","#202602022700003161","0","4.08","0.34","0.01","29","5.96","39.39"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24750-C-E-I","NSE","Sell","65","114.15","7419.75","#202602022700008155","7.42","2.64","0","0.01","29","5.7","44.77"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24750-C-E-I","NSE","Buy","65","192.55","12515.75","#202602022700010309","0","4.45","0","0.01","29","6.02","39.48"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-24750-C-E-I","NSE","Buy","65","116.4","7566","#202602022700007860","0","2.69","0.19","0.01","29","5.7","37.59"
"02-Feb-26","OPT-NIFTY-03-Feb-2026-25000-P-E-I","NSE","Sell","130","147.9","19227","#202602022700015491","19.22","6.84","0","0.02","58","11.68","95.76"
"02-Dec-25","OPT-NIFTY-02-Dec-2025-26050-P-E-I","NSE","Buy","75","34","2550","#202512023700015171","0","0.91","0","0","29","5.38","35.29"
"02-Dec-25","OPT-NIFTY-02-Dec-2025-26050-P-E-I","NSE","Sell","300","39.25","11775","#202512023700025744","12","4.18","0","0.01","116","21.64","153.83"
"02-Dec-25","OPT-NIFTY-02-Dec-2025-26050-P-E-I","NSE","Buy","225","30.1","6772.5","#202512023700015551","0","2.41","0","0.01","87","16.1","105.52"
"02-Apr-25","OPT-NIFTY-03-Apr-2025-23150-P-E-I","NSE","Sell","1500","29","43500","#202504023700014277","43.5","15.46","0","0.04","580","107.2","746.2"
